name,longitude,latitude
RIVERSIDE GOURMET DELI INC,-73.885383575,40.959453974
A 602 FOOD CORP,-73.932434718,40.851745513
SELDEN DRIVE THROUGH CONVENIENCE INC,-73.03808984,40.866563376
SHOP-RITE SUPERMARKETS INC,-74.210447946,41.51130532
KING KULLEN GROCERY CO INC,-72.733781493,40.828226982
ANGEL GROCERY AND BAKERY INC,-74.04066839,41.505096509
STEWARTS SHOPS CORP,-73.777007411,42.705733982
DOLLAR TREE STORES INC,-76.216172584,42.570843428
GG HOLDINGS INC,-78.824948081,42.914306704
DOLGEN NEW YORK LLC,-73.384956631,40.702887229
KRISHNAN CORP,-73.805801009,41.672776608
DUANE READE ETAL PTRS,-73.972278933,40.793535752
CVS ALBANY LLC,-74.157558723,40.626582741
MEDFORD VILLAGE MARKET INC,-73.002527101,40.810351484
SHOMER SHABES SUPERMARKET INC,-73.994935636,40.632515955
QUEEN ANN MACARONI MFG CO INC,-73.99427179,40.614886508
ALGABRI SAMHAN,-77.635678229,43.14111258
GOLDEN LOTUS FOOD STORES LLC,-75.216778348,43.089822382
TWIGGS CONVENIENCE & SMOKE INC,-73.73532932,40.803840715
AYUSHI INC,-74.153813186,41.116332985
DOMINICAN CANELAS DELI CORP,-73.580213736,40.659574373
NORWICH SERVICE STATION INC,-73.53594111,40.842613136
A&A QUALITY DELI CORP,-73.763408444,40.597613375
LA BONITA GROCERY STORE CORP,-73.899167112,40.857267469
WEGMANS FOOD MARKETS INC,-76.222740224,43.132501726
DOLGEN NEW YORK LLC,-77.138469516,42.969817828
DOMINICKS MARKET INC,-76.137501046,43.054499232
1154 NP MINIMART INC,-73.966252428,40.629397007
B&B GROCERY & HALAL MEAT INC,-73.807036417,40.7014354
EAST MEADOW CORP,-73.549601684,40.724757961
BAY RIDGE FISHBAR CORP,-74.028332324,40.630550902
DOLGEN NEW YORK LLC,-76.144695317,43.115405912
DOLGEN NEW YORK LLC,-77.742079197,43.028986311
DOLGEN NEW YORK LLC,-73.511945649,44.653471943
STROBEL FARMS LLC,-78.738568797,43.234852056
WALGREEN EASTERN CO INC,-73.84563877,40.785319643
RITE AID OF NEW YORK INC,-79.166715238,42.544731033
JMMD DELI CORP,-73.807004482,40.701899212
HIGHLAND PARK GROCERY CORP,-73.891138087,40.68103062
POR LA GRACIA DE DIOS TRES LOCHES CAFE I,-73.937778936,40.793558467
PAULINO FRANKLYN M,-73.855997545,40.740893963
GOJI LLC,-77.843583123,42.736069557
JS ORGANIC MARKET CORP,-73.933654324,40.669208828
MACARENO CENTRAL INC,-74.023544916,40.635081069
TASTY SPOT CORP,-73.952190864,40.59942768
WILSONS BREAD LLC,-73.712053361,43.130214975
S&V CONVENIENCE INC,-73.196529938,40.855127653
APPLE FARM FISH MARKET LLC,-73.782984714,41.037647785
SUNNY DELI INC,-73.907088011,40.877971775
OMNI HEALTH INC,-73.974363093,40.596991186
WEIS MARKETS INC,-76.072267124,42.11152142
SPEEDWAY LLC,-76.918624014,42.893450434
IT' SUGAR LLC,-73.305409184,40.764263757
AVICO DISTRIBUTING INC,-75.214306831,43.100228842
DOLLAR TREE STORES INC,-73.918033435,40.839426923
GROCERY EL ROCIO CORP,-73.874394313,40.750920941
GENOVESE DRUG STORES INC,-73.994357788,40.681310324
C H PETROLEUM INC,-74.260121471,41.454570973
AHMAD SYED&SALMA,-73.188475675,40.826227453
ALAND GOURMET DELI 2 INC,-73.864983867,40.837828913
CVS PHARMACY LLC,-73.09388247,40.858633928
ANR STORES INC,-73.60912183,40.744446046
STEW LEONARDS FARMINGDALE LLC,-73.419036778,40.737384293
PEARL RIVER SHOP RITE ASSCTS INC,-74.011674968,41.060817629
DOLLAR TREE STORES INC,-73.298026572,40.70841983
TOPS MARKETS LLC,-74.070329431,41.743060416
TWO DELI CORP,-73.8967403,40.674275309
M&S KOLEL GROCERY INC,-74.025549029,41.138766269
ADIRONDACK CORNER STORE LLC,-73.979480413,44.271421653
86 TOBACCO & CONVENIENCE CORP,-74.028008615,40.623138324
WALGREEN EASTERN CO INC,-73.912204408,41.596308128
BOLLA OPERATING LI CORP,-73.529528283,40.778144985
ANA & ALEX MEXICAN DELI GROCERY CORP,-73.904105226,40.828171913
DOLLAR TREE STORES INC,-78.735861945,42.158649551
SEVEN&ONE DELI GRY FULTON ST CORP,-73.940508335,40.680029947
TARGET CORPORATION,-73.673518316,40.991656618
BROTHERS FRESH FRUITS&VGTBLS CORP,-73.837095515,40.941355224
EL TESORO GROCERY CORP,-73.929301898,40.856327103
MIDWAY OIL CORP,-73.657924875,43.304232253
GAZA DELI & GRILL CORP,-73.918519669,40.7355821
ADVANCED FRESH CONCEPTS FRANCHISE CORP,-78.757551712,42.962496026
LA SAN MARQUENITA GROCERY&VARIEDADES INC,-73.915190461,40.701682205
MECCA HALAL MARKET INC,-77.615466443,43.18569454
NORTHERN ORCHARD CO INC,-73.533128143,44.556612849
FEDERS SUPERMARKET INC,-74.166865905,41.34354421
SUNNY GROCERY YILDIZ CORP,-73.918519921,40.74480257
SONBYRNE SALES INC,-76.218262,42.684057
HUBBARD TIMOTHY & BONNIE,-73.309421518,43.577894351
COMMACK COUNTRY MART INC,-73.294080623,40.836236184
97-01 FOOD CORP,-73.869872025,40.751925428
NS SUPERMARKET INC,-74.025472838,41.139404928
YDHNY INC,-73.95301245,40.808032418
STEWARTS SHOPS CORP,-73.81794823,42.655060223
2556 BOSTON FOOD CORP,-73.863326429,40.864599036
GOOD NEIGHBOR DELI & GROCERY INC,-73.916150776,41.702860474
BRONX 656 FOOD CORP,-73.847914121,40.820151018
PELLEGRINOS OF COLONIE INC,-73.805704114,42.6945182
600 TULIP AVE INC,-73.688518653,40.717434441
LEMPA RIVER DELI INC,-73.035368152,40.781569453
GAZA CONVIENCE INC,-73.960733951,40.649716123
MUNTAZ RAMJOHN,-73.818812153,40.692136558
CRUZ AARON,-73.925057554,40.702495417
THOMPSONS CIDER MILL INC,-73.829221806,41.216091086
CHONS FRUIT&VEGETABLE CORP,-73.884430134,40.745992675
STOLTZFUS MARY B,-77.269612773,42.110748399
