tract,GEOID,longitude,latitude,geometry,nearest_store_index,nearest_store_name,distance_to_nearest_store
036900,36047036900,-73.90922833002033,40.67964997130717,POINT (-73.90922833002033 40.67964997130717),3793,VA GROCERY AND DELI CORP,87.06766582375903
038200,36047038200,-73.98148054278201,40.59152502381733,POINT (-73.98148054278201 40.59152502381733),4795,S&W DELI CORP,194.68174718520916
038600,36047038600,-73.97510850922465,40.59234951332174,POINT (-73.97510850922465 40.592349513321736),4147,KINGS GLATT INC,150.8776473215379
038700,36047038700,-73.927749550093,40.69053934027878,POINT (-73.927749550093 40.69053934027878),12285,PATCHEN DELI AND GRILL CORP,80.59438532864631
038800,36047038800,-73.96925160084255,40.59292477584599,POINT (-73.96925160084255 40.592924775846),17960,AAMAR DELI & GROCERY INC,235.3644236488507
038900,36047038900,-73.93723491455586,40.69943850871856,POINT (-73.93723491455586 40.69943850871856),10869,PETRICHOR LLC,127.55578168280339
039000,36047039000,-73.96442651583268,40.59296919530114,POINT (-73.96442651583268 40.592969195301144),11116,OCEAN GROCERY & DELI INC,177.68657685637558
039100,36047039100,-73.93365503781969,40.69979500731528,POINT (-73.93365503781969 40.69979500731528),18264,54 NOLL LLC,107.94506032061273
039300,36047039300,-73.93000452319093,40.695627971509346,POINT (-73.93000452319093 40.695627971509346),2600,BROOKLYN WHISKERS BAKERY LLC,45.58575816682617
077200,36047077200,-73.95317700978184,40.63160936440005,POINT (-73.95317700978184 40.631609364400056),23130,2816 GLENWOOD DELI & JUICE BAR INC,412.6241331905326
077400,36047077400,-73.94808149311433,40.63119879513752,POINT (-73.94808149311433 40.63119879513752),14277,BABLOS CONVENIENCE INC,120.49950701265777
077600,36047077600,-73.94113608457643,40.6309255373399,POINT (-73.94113608457643 40.6309255373399),14705,MADISON DELI FOOD CORP,243.93460445355217
078200,36047078200,-73.9414428683688,40.63785373341644,POINT (-73.9414428683688 40.63785373341644),14020,ROTI R US INC,376.76197462188924
058400,36047058400,-73.95867192332473,40.59407480521932,POINT (-73.95867192332473 40.594074805219314),4583,1223 GRAVESEND NECK ROAD CORP,101.3399737442994
007700,36047007700,-73.9952231151001,40.677020379673024,POINT (-73.9952231151001 40.677020379673024),8279,KABIRS BAKERY INC,36.49904475959076
046201,36047046201,-73.97351637795207,40.62762293773474,POINT (-73.97351637795207 40.62762293773475),10139,FF GUERREROS DELI & GROCERY LLC,172.03205682118315
036700,36047036700,-73.90461301131472,40.677564590486455,POINT (-73.90461301131472 40.67756459048646),9434,ABREU MARINO A,106.78970566836722
003000,36047003000,-74.02897660852518,40.6388788404157,POINT (-74.02897660852518 40.6388788404157),13428,COLONIAL DELI INC,237.58273898298035
