name,median_income,white_pop,black_pop,asian_pop,hispanic_pop,tract,total_pop,white_percent,black_percent,asian_percent,hispanic_percent,centroid
"Census Tract 123, Bronx County, New York",39258.0,371.0,2373.0,25.0,2536.0,012300,5305.0,6.99340245051838,44.73138548539114,0.47125353440150797,47.80395852968897,POINT (1656191.279919531 2308295.113908964)
"Census Tract 125, Bronx County, New York",45966.0,372.0,1005.0,0.0,2990.0,012500,4367.0,8.518433707350583,23.01351041905198,0.0,68.46805587359744,POINT (1485198.2586213297 2383920.4182634572)
"Census Tract 125, Bronx County, New York",45966.0,372.0,1005.0,0.0,2990.0,012500,4367.0,8.518433707350583,23.01351041905198,0.0,68.46805587359744,POINT (1832484.4519745966 2193902.500474369)
"Census Tract 125, Bronx County, New York",45966.0,372.0,1005.0,0.0,2990.0,012500,4367.0,8.518433707350583,23.01351041905198,0.0,68.46805587359744,POINT (1588582.1464114 2393644.7843535813)
"Census Tract 125, Bronx County, New York",45966.0,372.0,1005.0,0.0,2990.0,012500,4367.0,8.518433707350583,23.01351041905198,0.0,68.46805587359744,POINT (1832170.221486066 2187186.4429721613)
"Census Tract 125, Bronx County, New York",45966.0,372.0,1005.0,0.0,2990.0,012500,4367.0,8.518433707350583,23.01351041905198,0.0,68.46805587359744,POINT (1819250.428261556 2167775.6204155413)
"Census Tract 125, Bronx County, New York",45966.0,372.0,1005.0,0.0,2990.0,012500,4367.0,8.518433707350583,23.01351041905198,0.0,68.46805587359744,POINT (1826874.0839708156 2184659.311794627)
"Census Tract 127.01, Bronx County, New York",34960.0,358.0,504.0,7.0,1735.0,012701,2604.0,13.748079877112135,19.35483870967742,0.2688172043010753,66.62826420890937,POINT (1832659.1632545767 2193598.460279714)
"Census Tract 127.01, Bronx County, New York",34960.0,358.0,504.0,7.0,1735.0,012701,2604.0,13.748079877112135,19.35483870967742,0.2688172043010753,66.62826420890937,POINT (1645614.4042870293 2290605.216926006)
"Census Tract 129.01, Bronx County, New York",34329.0,885.0,1661.0,6.0,3322.0,012901,5874.0,15.066394279877427,28.277153558052436,0.10214504596527069,56.55430711610487,POINT (1832215.3339269815 2193147.458452417)
"Census Tract 129.01, Bronx County, New York",34329.0,885.0,1661.0,6.0,3322.0,012901,5874.0,15.066394279877427,28.277153558052436,0.10214504596527069,56.55430711610487,POINT (1825390.1868548924 2184754.9787722873)
"Census Tract 129.01, Bronx County, New York",34329.0,885.0,1661.0,6.0,3322.0,012901,5874.0,15.066394279877427,28.277153558052436,0.10214504596527069,56.55430711610487,POINT (1829335.8149266394 2176239.215470007)
