name,longitude,latitude,geometry,nearest_tract_index,nearest_tract,distance_to_nearest_tract
BROTHERHOOD AMRCS OLDEST WNRY LTD,-74.162981815,41.432418829,POINT (-74.162981815 41.432418829),2883,013202,657.2938226700222
FAMILY DOLLAR STORES OF NEW YORK LLC,-78.428537059,42.533767278,POINT (-78.428537059 42.533767278000006),1492,971000,4771.385227310104
NXU DELI AND GRILL CORP,-73.997350127,40.625488232,POINT (-73.997350127 40.625488232),4509,025000,243.11155566667506
NEW GOLD TIM CORP,-73.842015021,40.785048195,POINT (-73.842015021 40.785048195),1989,094700,79.92874489441628
DOLGEN NEW YORK LLC,-78.630644166,42.768473617,POINT (-78.630644166 42.768473617),1426,013900,1387.5939717271422
JL&H DELI CORP,-73.910996241,40.707914569,POINT (-73.910996241 40.70791456900001),2340,059100,104.99849482153259
GRAVESEND DELI & GRILL INC,-73.955338017,40.595005974,POINT (-73.955338017 40.595005973999996),4947,058600,78.51629549696376
MAHARAJ MATAJI CORPORATION,-73.89440309,40.726328688,POINT (-73.89440309 40.72632868799999),2334,049302,281.35933987439626
EAST 11TH STREET DELI CORP,-73.980460593,40.727783451,POINT (-73.980460593 40.727783450999986),3644,003400,160.204805756123
CONSTELLATION THIRTY NINE INC,-78.616719227,42.767691376,POINT (-78.616719227 42.767691376),1426,013900,669.3898242784218
FREELAND THOMAS,-77.053857053,42.14344679,POINT (-77.053857053 42.14344678999999),3332,962600,833.5378252058778
FRANKIES SUPERETTE LLC,-73.807408715,41.581237283,POINT (-73.807408715 41.581237283),1003,050102,2478.741124836326
MACCA HALAL MARKET 2 INC,-73.86008322,40.846642107,POINT (-73.86008322 40.846642106999994),768,024400,220.98213530049026
JJR 66-82 FOOD CORP,-73.896979016,40.706254198,POINT (-73.896979016 40.706254198),2753,058500,293.6794111580769
HAZEN BRETT&JOANNE,-74.263915268,44.856104788,POINT (-74.263915268 44.856104788),1343,950501,2881.74556413974
DE CENTRO AMERICA DELI INC,-73.690133679,40.706788376,POINT (-73.690133679 40.706788375999984),881,405200,705.204754562191
EMUNA 55 INC,-73.843707244,40.837639398,POINT (-73.843707244 40.83763939800001),3738,020200,339.88507826792784
DOLGEN NEW YORK LLC,-76.141282877,43.008193156,POINT (-76.141282877 43.00819315599999),1174,006101,112.05498661167765
FASTRAC EG LLC,-77.594734979,43.160362501,POINT (-77.594734979 43.160362500999994),2804,009301,534.7066680194251
IT' SUGAR LLC,-73.981800272,40.770107075,POINT (-73.981800272 40.77010707499999),58,014500,211.09554340470794
KRAZY DOLLAR DEALS INC,-73.902144364,40.850971863,POINT (-73.902144364 40.850971862999984),2557,023502,117.25434684498474
LAMS LAB LLC,-73.818550638,40.749859834,POINT (-73.818550638 40.749859834000006),2411,084500,142.06572625087364
BEDFORD VILLAGE SERVICE STN INC,-73.660054381,41.192948693,POINT (-73.66005438100001 41.192948693000005),2894,012700,718.5562431747209
TASTE OF LEX CORP,-73.94431154,40.794668147,POINT (-73.94431154 40.794668147),3629,017200,116.30956809752652
BHAKTI 2034 INC,-73.853132526,40.710931593,POINT (-73.853132526 40.71093159299999),3982,064500,214.274773445159
NOBLE DELI GROCERY CORP,-73.870260107,40.832556277,POINT (-73.870260107 40.832556277),463,006400,170.90208573205263
BRIYANA ORGANICS DELI CORP,-73.95331647,40.681178226,POINT (-73.95331647 40.68117822599999),4505,024500,223.6915854345872
JOSIE GREENS OF NY INC,-74.014695303,40.713919741,POINT (-74.014695303 40.713919741000005),3595,002100,395.03030277185866
STEW LEONARDS YONKERS LLC,-73.863444607,40.976112474,POINT (-73.863444607 40.976112474000004),791,000900,634.4711154212987
RAFAEL DELI GROCERY CORP,-73.917695309,40.684654075,POINT (-73.917695309 40.68465407499999),4588,037700,219.78459168029676
NKEMAKOLAM DANIEL,-74.078965389,40.638088496,POINT (-74.078965389 40.638088496),4432,001100,322.07390665179577
PRIMITIVA LLC,-73.655950266,41.19564402,POINT (-73.655950266 41.19564402000001),2894,012700,402.8544103628299
ECKERD CORP,-73.931157316,41.717580479,POINT (-73.931157316 41.71758047899999),3465,220101,954.9510895939965
FIRST HEALTH FRESH GOURMET INC,-73.896616164,40.816185791,POINT (-73.896616164 40.816185790999995),545,008500,208.31102733427306
